Name,DC_Ranking,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate
Luther College,94,4.94,"$26,138","$59,850",77%
Lake Forest College,95,4.96,"$27,904","$61,825",76%
Wartburg College,96,5.1,"$22,869","$56,201",68%
Smith College,97,5.11,"$31,087","$64,027",87%
Wittenberg University,98,5.18,"$22,729","$54,947",62%
Meredith College,99,5.25,"$20,269","$51,539",66%
Southwestern University,100,5.37,"$29,104","$56,878",74%
Whittier College,101,5.44,"$26,635","$59,492",66%
Agnes Scott College,102,5.48,"$22,358","$56,274",73%
Franklin College,103,5.59,"$18,419","$55,376",63%
Saint Norbert College,104,5.64,"$25,644","$58,363",72%
Illinois College,105,5.66,"$17,512","$52,575",66%
Lewis & Clark College,106,5.74,"$33,819","$62,205",74%
Westminster College,107,5.77,"$21,969","$53,861",95%
Bridgewater College,108,5.83,"$18,897","$53,453",64%
Roanoke College,109,5.93,"$27,780","$58,047",71%
Millsaps College,110,5.96,"$26,812","$53,848",68%
Soka University of America,111,5.98,"$21,267","$55,017",87%
Centenary College of Louisiana,112,6.04,"$22,729","$50,330",56%
Central College,113,6.05,"$22,578","$54,317",68%
Juniata College,114,6.1,"$25,378","$56,918",74%
Beloit College,115,6.15,"$19,672","$53,260",77%
The King's College,116,6.17,"$33,219","$58,065",52%
"Randolph, Macon College",117,6.22,"$27,462","$58,448",64%
Lawrence University,118,6.4,"$22,763","$55,789",78%
Hanover College,119,6.41,"$24,059","$53,957",70%
Willamette University,120,6.44,"$28,978","$56,911",74%
Ripon College,121,6.51,"$21,825","$54,902",68%
Westminster College,122,6.6,"$26,380","$52,199",58%
Ohio Wesleyan University,123,6.73,"$25,814","$55,624",66%
Mount Holyoke College,124,6.8,"$31,444","$58,418",85%
Simpson University,125,6.82,"$24,437","$54,340",56%
Ouachita Baptist University,126,6.89,"$23,086","$51,673",59%
Thomas Aquinas College,127,7,"$27,202","$55,619",81%
Aquinas College,128,7.12,"$17,682","$49,584",65%
Spelman College,129,7.14,"$38,319","$59,993",77%
Reed College,130,7.22,"$32,966","$62,927",78%
Cornell College,131,7.28,"$24,164","$53,460",67%
Knox College,132,7.5,"$26,205","$54,820",70%
Gordon College,133,7.53,"$21,043","$52,119",73%
Monmouth College,134,7.64,"$19,875","$51,110",59%
"Hellenic College, Holy Cross Greek Orthodox School of Theology",135,7.88,"$29,312","$51,724",57%
Oberlin College,136,7.9,"$37,377","$58,343",86%
Ave Maria University,137,8.03,"$21,131","$49,520",54%
University of North Carolina at Asheville,138,8.34,"$13,637","$44,030",64%
Salem College,139,8.36,"$16,717","$44,640",67%
University of Virginia's College at Wise,140,9.05,"$9,536","$45,325",51%
Goucher College,141,9.11,"$27,204","$53,023",68%
Eckerd College,142,9.44,"$31,954","$51,819",67%
Morehouse College,143,9.49,"$36,836","$52,889",58%
Virginia Wesleyan University,144,9.74,"$22,807","$50,074",53%
Guilford College,145,9.8,"$23,571","$47,590",52%
Earlham College,146,10.75,"$25,496","$50,797",67%
Massachusetts College of Liberal Arts,147,11.55,"$17,630","$48,102",59%
SUNY at Purchase College,148,11.92,"$19,598","$45,092",66%
Houghton University,149,13.54,"$19,831","$46,721",70%
Bethany Lutheran College,150,13.82,"$17,362","$46,110",61%
Marymount Manhattan College,151,14.02,"$39,478","$49,131",58%
Dillard University,153,28.4,"$19,117","$39,196",49%
