Name,UnitID,WM_Rank,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state
Occidental College,120254,41,86%,36,90%,152,3%,16,103,5%,60,67872.0,72284,154,15393,75,2.8,26,46,48,93,21%,13,YES,0,0%,149,67,37,39,CA
Connecticut College,128902,42,83%,48,86%,138,4%,9,72,1%,87,70642.0,65331,34,17318,106,1.6,47,83,66,112,18%,21,NO,6,0%,149,39,68,56,CT
Saint Mary's College,152390,43,79%,68,68%,10,-5%,100,79,-5%,144,57984.0,49278,15,15416,77,0.0,122,140,70,22,5%,128,NO,3,35%,2,33,148,29,IN
College of Saint Benedict,174747,44,80%,63,71%,15,-10%,140,110,1%,80,58719.0,52887,30,18600,135,0.7,72,134,24,112,14%,33,NO,6,20%,17,62,127,8,MN
Knox College,146427,45,74%,87,71%,55,-7%,116,99,6%,51,50241.0,51781,120,17411,109,0.0,122,66,1,112,22%,12,NO,4,6%,82,88,84,2,IL
Allegheny College,210669,46,74%,84,73%,82,-8%,120,121,8%,32,59454.0,56631,55,18369,129,0.4,92,58,46,49,15%,28,YES,6,5%,92,74,73,13,PA
Bennett College,197993,47,40%,180,31%,16,12%,1,78,15%,12,34994.0,29279,31,21859,175,0.0,122,89,80,112,8%,83,NO,4,11%,53,28,101,77,NC
Muhlenberg College,214175,48,83%,50,78%,38,3%,18,68,-6%,149,69534.0,61077,16,18191,121,0.4,87,119,120,78,6%,111,YES,6,4%,104,36,117,60,PA
Skidmore College,195526,49,88%,31,84%,54,8%,3,83,-14%,189,66134.0,66227,90,12796,44,2.7,28,72,126,94,8%,94,NO,4,4%,109,32,51,132,NY
Agnes Scott College,138600,50,71%,103,64%,24,-2%,68,85,9%,24,48745.0,47245,71,15756,85,0.8,67,47,65,39,3%,163,NO,6,8%,69,45,60,74,GA
Pitzer College,121257,51,85%,41,85%,101,3%,13,37,-6%,151,63232.0,71531,188,10169,26,0.3,97,82,9,71,6%,120,YES,6,1%,138,84,91,7,CA
St. John's College,163976,52,70%,105,77%,173,4%,12,22,15%,13,50692.0,45956,41,19485,148,0.0,122,24,5,112,9%,63,NO,0,0%,149,68,46,59,MD
Soka University of America,399911,53,92%,14,76%,3,-8%,128,30,0%,97,50737.0,46637,47,10241,28,0.0,122,133,25,112,9%,65,NO,0,6%,80,25,140,76,CA
Linfield College,209065,54,73%,90,67%,29,-7%,115,104,-5%,134,68219.0,56070,9,23201,183,0.2,110,101,17,95,7%,105,NO,6,12%,43,70,110,16,OR
Univ. of NC–Asheville*,199111,55,63%,142,67%,158,-5%,95,265,6%,44,43467.0,49703,172,10135,24,4.0,14,144,155,112,13%,39,NO,6,6%,84,42,64,98,NC
Kalamazoo College,170532,56,84%,44,74%,14,-1%,52,72,5%,61,57957.0,60905,138,18596,134,0.7,76,27,43,112,10%,53,NO,5,0%,149,72,40,68,MI
Rust College,176318,57,37%,184,24%,7,0%,38,147,7%,38,28395.0,30401,127,9359,20,0.0,122,153,69,112,1%,185,NO,0,26%,7,24,161,94,MS
Hampshire College,166018,58,67%,127,69%,135,-5%,91,61,1%,85,42449.0,50139,186,18506,131,0.3,102,3,27,112,26%,7,YES,0,6%,81,156,12,12,MA
Bucknell University,211291,59,90%,24,89%,87,-1%,49,94,-11%,179,87393.0,72903,6,23736,186,5.2,7,73,172,17,4%,146,NO,5,3%,123,50,24,151,PA
Denison University,202523,60,85%,40,85%,100,-4%,86,99,-9%,168,59054.0,63473,155,16898,102,0.6,77,71,75,112,37%,3,YES,6,3%,122,107,78,4,OH
Barnard College,189097,61,93%,11,97%,151,-1%,45,111,-4%,127,73047.0,73689,100,16067,88,4.0,15,32,136,110,19%,16,NO,0,0%,149,69,19,149,NY
St. John's College,245652,62,58%,153,67%,185,0%,37,26,22%,3,42305.0,35068,21,24017,188,0.0,122,13,3,112,2%,181,NO,0,0%,149,90,23,64,NM
Beloit College,238333,63,81%,57,71%,13,-3%,72,65,3%,66,52110.0,55071,139,13312,48,0.1,119,29,71,112,6%,118,NO,2,4%,108,52,47,123,WI
Whittier College,125763,64,69%,109,73%,159,4%,10,149,12%,20,57443.0,60472,143,18960,139,0.2,112,148,114,112,18%,20,YES,5,8%,68,63,147,27,CA
Lewis & Clark College,209056,65,77%,77,81%,154,-7%,118,104,6%,50,52084.0,58909,178,23173,182,2.6,33,33,4,112,12%,42,NO,6,24%,12,162,27,1,OR
Saint John's University,174792,66,75%,82,72%,51,-9%,136,74,0%,99,72070.0,67066,36,16661,98,1.0,59,45,61,2,6%,112,NO,6,4%,101,82,56,53,MN
DePauw University,150400,67,84%,46,75%,17,-3%,81,103,-6%,148,64520.0,56393,17,17160,104,0.4,94,53,128,50,5%,136,NO,0,6%,79,34,71,167,IN
Colorado College,126678,68,87%,33,90%,144,3%,14,48,-1%,109,59302.0,70533,192,12090,39,2.8,25,40,40,96,6%,117,NO,6,5%,89,94,33,55,CO
Wheaton College,149781,69,88%,30,82%,27,-2%,67,127,11%,22,56740.0,61837,161,17643,112,1.0,61,41,92,5,6%,110,NO,0,10%,57,59,54,128,IL
Goucher College,162654,70,67%,117,66%,81,-5%,90,75,8%,27,50457.0,52269,124,17829,117,0.4,89,115,20,81,4%,154,NO,5,29%,4,93,113,11,MD
Centre College,156408,71,83%,49,79%,48,-7%,114,52,2%,74,59212.0,61788,134,14922,68,0.3,103,55,64,42,25%,9,NO,6,0%,149,89,74,33,KY
Gettysburg College,212674,72,82%,53,85%,142,-2%,62,75,0%,102,69282.0,66081,54,15451,78,1.0,57,107,105,24,3%,170,YES,5,1%,141,64,94,79,PA
Drew University,184348,73,64%,138,72%,181,-2%,65,93,6%,53,56546.0,53140,52,15538,80,0.0,122,104,115,83,8%,77,YES,6,7%,76,75,116,48,NJ
University of Puget Sound,236328,74,77%,76,77%,89,-9%,135,93,5%,58,63206.0,60703,57,22769,179,0.9,64,64,15,109,7%,99,NO,4,21%,16,112,67,15,WA
Whitman College,237057,75,89%,27,82%,31,-3%,78,37,1%,81,61891.0,64857,140,21432,171,1.2,54,19,39,112,10%,51,NO,4,0%,145,106,22,69,WA
Univ. of NH–Manchester*,183071,76,58%,151,54%,42,5%,8,48,6%,48,63436.0,53514,13,11368,33,0.0,122,191,180,112,0%,187,NO,0,0%,149,10,192,196,NH
Lawrence University,239017,77,79%,67,80%,118,-8%,126,69,14%,14,49848.0,57820,187,15407,76,0.6,78,44,2,112,9%,73,NO,0,2%,128,109,59,31,WI
University of Mary Washington*,232681,78,68%,116,72%,160,-1%,55,166,-8%,162,57550.0,56940,83,16285,92,0.8,68,128,97,72,8%,85,NO,6,14%,34,80,115,65,VA
Lake Forest College,146481,79,74%,86,74%,105,2%,21,139,6%,49,62790.0,56811,29,18441,130,0.4,88,116,171,112,4%,148,NO,0,5%,93,29,114,184,IL
Virginia Military Institute*,234085,80,78%,71,75%,50,-2%,63,50,-18%,196,74447.0,72340,63,10204,27,1.0,60,167,180,1,0%,187,NO,2,0%,149,66,150,78,VA
Bard College,189088,81,74%,85,76%,125,3%,17,87,0%,100,43133.0,49377,173,18812,138,0.2,117,48,57,112,3%,160,YES,6,3%,114,101,69,37,NY
Albion College,168546,82,65%,133,57%,20,-14%,165,68,-4%,129,56147.0,49343,22,13490,50,0.7,73,63,85,97,2%,178,NO,5,5%,88,79,70,105,MI
St. Mary's College of MD*,163912,83,77%,80,69%,21,-6%,108,74,-3%,124,57899.0,58672,103,10582,32,0.4,96,43,166,112,10%,56,NO,0,6%,78,60,63,168,MD
Westminster College,216807,84,68%,112,63%,35,-10%,143,105,-4%,128,51123.0,52176,110,16335,93,0.0,122,95,28,112,15%,30,NO,3,14%,37,100,107,24,PA
Union College,196866,85,86%,38,85%,103,5%,7,89,-11%,178,72897.0,71586,74,16472,95,1.7,45,79,130,45,9%,69,NO,0,0%,149,56,66,170,NY
Willamette University,210401,86,73%,93,71%,69,-3%,77,95,2%,77,58329.0,56313,67,26384,194,1.9,40,28,12,74,8%,87,NO,0,0%,149,114,26,72,OR
Furman University,218070,87,80%,59,84%,155,-4%,87,77,1%,91,59616.0,61780,130,19973,152,2.1,37,61,135,4,1%,184,YES,5,21%,15,122,53,35,SC
Bennington College,230816,88,74%,88,71%,62,1%,27,30,1%,89,46270.0,45745,84,22894,180,0.0,122,80,8,112,14%,32,NO,1,1%,136,104,95,38,VT
Spelman College,141060,89,77%,79,58%,2,-13%,160,213,-3%,121,54903.0,48478,24,36895,199,2.7,27,42,47,19,6%,122,NO,6,3%,115,131,35,62,GA
Coe College,153144,90,66%,129,66%,99,-7%,112,82,2%,78,53541.0,54332,104,15536,79,0.6,80,123,53,40,8%,74,NO,4,13%,41,95,119,54,IA
Claflin University,217873,91,52%,165,40%,8,-12%,157,255,6%,46,34362.0,35574,115,19356,143,2.0,39,173,169,12,17%,22,NO,1,9%,66,73,130,118,SC
Kenyon College,203535,92,93%,12,88%,39,-14%,169,35,-6%,154,62778.0,64257,119,15274,72,1.0,58,23,37,112,12%,44,NO,1,0%,149,124,30,92,OH
Albright College,210571,93,59%,150,57%,71,-15%,176,178,8%,28,54263.0,46207,18,16151,89,0.0,122,170,73,112,11%,48,NO,0,3%,124,58,174,137,PA
Cornell College,153162,94,73%,94,71%,68,-6%,106,92,4%,65,50721.0,57364,175,19541,150,0.3,100,91,7,112,8%,92,NO,5,4%,102,134,97,20,IA
CUNY Medgar Evers College*,190646,95,24%,194,39%,194,-9%,132,302,7%,36,42478.0,43116,99,5869,7,0.9,63,192,144,105,0%,187,NO,0,16%,28,46,172,165,NY
Ripon College,239628,96,68%,114,62%,32,-11%,149,61,3%,68,50266.0,50131,88,15374,74,0.0,122,49,170,7,23%,10,NO,0,8%,70,96,76,107,WI
Wofford College,218973,97,82%,54,75%,23,2%,20,76,-15%,193,67381.0,63083,45,20686,161,0.0,122,125,151,8,9%,62,NO,5,0%,149,78,133,121,SC
Sewanee–Univ. of the South,221519,98,80%,60,80%,107,-3%,82,72,-5%,139,57967.0,60048,128,19512,149,0.5,83,109,76,112,8%,80,YES,6,0%,149,113,108,46,TN
St. Lawrence University,195216,99,84%,47,81%,64,-8%,130,95,-8%,161,63361.0,61586,68,15757,86,0.1,120,130,98,37,7%,98,NO,6,3%,110,87,137,93,NY
Lycoming College,213668,100,67%,123,63%,43,-6%,107,95,7%,41,54458.0,50154,44,14665,64,0.0,122,135,163,32,2%,174,NO,2,0%,149,47,142,182,PA
Wabash College,152673,101,75%,83,71%,46,-11%,144,54,-2%,114,63061.0,58634,43,14586,62,1.2,55,57,180,44,13%,36,NO,1,0%,149,85,62,171,IN
Dillard University,158802,102,46%,174,46%,104,-19%,186,144,14%,15,37026.0,35857,75,17508,110,4.6,11,154,104,27,5%,137,NO,4,24%,14,128,61,67,LA
Sacred Heart Major Seminary,172033,103,74%,89,46%,1,0%,39,17,-8%,166,,37564,12,20871,164,0.0,122,171,180,112,0%,187,NO,0,0%,149,30,175,196,MI
MA College of Liberal Arts*,167288,104,60%,146,54%,26,-15%,178,135,4%,64,46224.0,41371,39,13649,53,0.0,122,177,91,112,7%,101,NO,0,12%,51,71,180,129,MA
Rhodes College,221351,105,83%,52,84%,117,-6%,105,68,-3%,122,67917.0,67730,87,17784,116,0.3,101,67,89,29,4%,155,YES,0,4%,105,99,81,102,TN
Cheyney University of PA*^^,211608,106,28%,193,34%,170,-1%,59,88,10%,23,35719.0,35949,93,10542,31,0.2,108,161,112,112,13%,35,NO,2,5%,87,83,158,116,PA
SUNY Purchase College*,196219,107,67%,119,69%,131,-5%,92,313,1%,82,45115.0,48930,150,16174,90,0.0,122,174,160,112,9%,64,NO,1,0%,149,49,176,176,NY
Washington & Jefferson College,216667,108,72%,95,69%,53,-11%,148,62,0%,92,66716.0,54591,10,20540,158,0.4,86,76,174,31,11%,47,NO,0,3%,125,81,87,172,PA
Washington College,164216,109,70%,106,71%,119,-1%,47,47,5%,57,65569.0,59967,32,15039,70,0.0,122,112,164,112,2%,179,NO,0,0%,149,51,126,191,MD
Wartburg College,154527,110,65%,134,68%,145,-14%,171,84,-9%,170,54262.0,55373,112,18319,127,0.0,122,137,19,112,26%,8,YES,0,19%,21,168,144,3,IA
Oberlin College,204501,111,87%,35,89%,141,1%,29,61,-12%,183,50202.0,62872,197,15676,81,1.6,46,15,62,112,13%,40,NO,0,0%,149,147,17,119,OH
Reed College,209922,112,81%,55,91%,183,-1%,54,58,4%,63,51510.0,66673,199,16693,99,3.4,20,5,145,112,8%,86,NO,2,0%,149,165,9,163,OR
Scripps College,123165,113,88%,29,88%,96,-4%,85,24,-1%,111,67688.0,71422,149,17754,115,0.1,121,37,95,112,11%,49,NO,4,0%,149,115,58,108,CA
College of Wooster,206589,114,76%,81,81%,166,-7%,117,98,-2%,119,53176.0,59368,171,16465,94,1.3,52,36,59,112,10%,57,NO,2,3%,112,137,45,100,OH
Trinity University,229267,115,79%,69,87%,179,-12%,153,75,-5%,137,66367.0,73370,180,12609,43,2.7,29,54,106,61,8%,81,NO,6,12%,47,150,43,70,TX
Thomas Aquinas College,124292,116,81%,58,70%,11,0%,36,31,7%,40,47912.0,45715,61,19358,144,0.0,122,127,180,112,0%,187,NO,0,0%,149,55,134,196,CA
Transylvania University,157818,117,72%,96,71%,74,-8%,121,58,5%,55,52184.0,54033,126,20106,156,0.0,122,68,44,54,6%,121,NO,3,4%,96,126,86,87,KY
Univ. of Virginia's Coll.–Wise*,233897,118,49%,172,50%,114,-11%,150,134,-7%,158,41478.0,41580,91,9138,18,1.3,53,184,180,10,6%,108,NO,5,8%,73,92,160,134,VA
Saint Michael's College,231059,119,80%,62,76%,45,-8%,123,79,1%,90,61174.0,60538,82,21840,174,0.9,65,120,63,38,4%,150,NO,0,16%,29,110,104,106,VT
Hartwick College,191533,120,60%,148,58%,79,-9%,133,109,-1%,113,51141.0,49092,65,21050,167,0.0,122,111,156,112,18%,17,NO,0,26%,6,123,125,81,NY
Wittenberg University,206525,121,64%,137,66%,129,-17%,182,93,-3%,125,55355.0,49962,33,18187,120,0.2,109,60,108,80,16%,27,NO,1,12%,46,133,79,95,OH
Hendrix College,107080,122,70%,107,73%,147,-13%,163,53,5%,54,46928.0,58055,191,11602,35,0.7,70,26,49,52,12%,43,NO,2,0%,149,160,39,91,AR
Hope College,170301,123,79%,64,75%,49,-15%,174,157,-7%,156,55053.0,58074,142,18984,140,3.9,17,98,167,111,5%,139,NO,1,20%,19,135,50,145,MI
Saint Norbert College,239716,124,72%,99,73%,120,-3%,79,100,-3%,120,53346.0,59157,167,21463,172,0.3,104,155,139,16,12%,46,YES,5,13%,42,143,153,34,WI
Randolph College,233301,125,58%,152,51%,22,-14%,164,38,-2%,116,47983.0,43101,37,19542,151,0.0,122,108,23,112,5%,129,NO,0,9%,62,132,122,83,VA
Wheaton College,168281,126,78%,75,79%,121,-1%,48,76,0%,94,61233.0,60186,77,21494,173,0.1,118,129,150,112,2%,171,NO,5,3%,116,97,131,152,MA
Morehouse College,140553,127,55%,159,56%,124,-14%,168,173,12%,19,51715.0,53926,131,27764,195,5.7,4,94,33,11,4%,147,NO,3,0%,146,170,28,86,GA
Stonehill College,167996,128,81%,56,80%,80,-7%,119,84,-12%,180,70873.0,64473,25,24143,189,0.6,79,121,161,48,4%,149,YES,1,10%,55,120,112,111,MA
Paine College,140720,129,20%,196,22%,126,1%,30,44,11%,21,32044.0,29607,58,12345,41,0.0,122,142,180,112,3%,159,NO,0,2%,127,77,151,189,GA
Holy Cross College,150774,130,50%,168,61%,189,10%,2,34,3%,67,46031.0,50468,156,16793,101,0.0,122,194,38,9,8%,82,NO,0,2%,134,102,194,101,IN
Millsaps College,175980,131,67%,126,62%,44,-6%,103,32,-13%,185,55965.0,57695,123,20033,154,0.5,82,31,36,60,2%,173,NO,0,2%,130,154,44,133,MS
Covenant College,139393,132,69%,108,66%,56,1%,28,68,1%,83,47663.0,49266,121,21103,168,0.0,122,138,180,101,8%,76,NO,0,13%,40,98,145,161,GA
Franklin College,150604,133,63%,140,57%,37,-12%,154,68,-3%,126,49494.0,47405,64,16608,97,0.0,122,168,116,102,7%,97,NO,1,16%,30,108,173,117,IN
Susquehanna University,216278,134,71%,102,74%,146,-8%,129,107,-1%,107,58842.0,56621,60,21028,166,0.2,107,159,131,34,3%,166,NO,6,6%,77,118,157,109,PA
Saint Vincent College,215798,135,73%,92,65%,18,-12%,158,88,-15%,192,57137.0,56809,86,17338,107,0.0,122,105,137,58,5%,134,NO,1,18%,24,127,118,136,PA
Saint Anselm College,183239,136,78%,70,78%,86,-4%,89,74,-10%,176,61867.0,60552,73,23442,185,0.0,122,157,154,36,12%,45,NO,2,26%,8,136,163,80,NH
Virginia Wesleyan University,234173,137,52%,163,60%,178,-6%,109,120,6%,52,44914.0,46141,117,20637,160,0.0,122,179,180,20,10%,58,YES,6,8%,72,138,182,63,VA
Augustana College,143084,138,72%,100,77%,167,-8%,122,128,-9%,169,60109.0,59269,79,18714,136,0.3,98,143,111,112,2%,177,NO,2,15%,32,121,141,130,IL
Monmouth College,147341,139,60%,149,62%,137,-14%,172,105,-5%,138,48330.0,50970,136,14564,60,0.0,122,132,11,53,3%,169,NO,0,6%,85,145,139,73,IL
Luther College,153834,140,78%,74,76%,75,-11%,145,95,-6%,146,53716.0,56773,144,20084,155,0.4,90,75,99,112,6%,116,NO,0,18%,23,144,85,115,IA
Virginia Union University,234164,141,32%,190,30%,65,-3%,80,126,4%,62,38203.0,38370,92,19360,145,0.0,122,182,94,55,5%,126,NO,0,12%,50,105,185,142,VA
Illinois College,145691,142,65%,135,57%,19,-20%,189,75,-6%,147,49232.0,47503,69,13331,49,0.0,122,162,134,112,5%,130,NO,5,5%,94,125,166,120,IL
Hanover College,150756,143,68%,113,66%,73,-11%,146,79,0%,98,50441.0,51177,101,15925,87,0.0,122,86,124,112,0%,187,NO,0,4%,98,111,99,183,IN
Earlham College,150455,144,66%,128,68%,127,-14%,167,50,0%,101,44690.0,50095,163,16770,100,0.2,105,20,42,112,1%,186,NO,0,3%,118,171,31,143,IN
Ursinus College,216524,145,79%,66,76%,59,-5%,93,70,-1%,104,66169.0,64128,66,24635,190,0.7,74,78,138,112,4%,152,NO,0,0%,143,116,82,185,PA
Sarah Lawrence College,195304,146,78%,73,82%,161,2%,23,55,-5%,143,49230.0,50378,114,25038,191,0.2,111,77,117,108,8%,89,NO,0,12%,44,142,90,144,NY
Johnson C. Smith University,198756,147,39%,181,36%,61,-10%,141,129,1%,79,38281.0,38831,98,18269,123,1.5,49,169,180,106,3%,158,NO,0,26%,9,130,135,150,NC
Univ. of Science & Arts of Okla.*,207722,148,40%,178,42%,139,-15%,173,44,-13%,187,38380.0,34674,49,7058,10,0.0,122,181,148,112,9%,67,NO,1,16%,27,119,184,127,OK
Central College,153108,149,69%,110,65%,47,-15%,175,73,-13%,186,51579.0,58171,174,18199,122,0.0,122,147,16,112,8%,79,YES,0,13%,38,176,155,18,IA
Austin College,222983,150,70%,104,72%,128,-9%,137,77,0%,95,58542.0,67154,189,18302,124,0.2,113,59,58,112,3%,164,NO,2,14%,36,167,80,90,TX
Presbyterian College,218539,151,67%,122,61%,28,-9%,134,54,-14%,190,50335.0,53353,141,18307,125,0.0,122,141,101,3,8%,88,NO,0,25%,10,157,149,75,SC
Concordia College–Moorhead,173300,152,72%,98,72%,92,-15%,177,128,-9%,173,53521.0,57680,151,19015,141,0.3,99,117,45,41,2%,172,NO,0,24%,11,166,123,71,MN
University of Maine–Machias*,161244,153,37%,186,35%,76,-5%,94,46,-4%,133,,33480,125,7259,11,0.0,122,193,180,112,0%,187,NO,0,9%,67,91,193,187,ME
